tracking_id,customer_id,ad_id,tracking_type,order_id,tracking_date
T0001,C0012,AD006,Click,,2024-08-06
T0002,C0038,AD008,Impression,,2025-05-17
T0003,C0014,AD001,Conversion,O0082,2025-08-21
T0004,C0028,AD005,Click,,2024-01-14
T0005,C0028,AD004,Click,,2025-01-25
T0006,C0036,AD009,Click,,2025-07-03
T0007,C0039,AD005,Click,,2023-11-27
T0008,C0012,AD007,Impression,,2024-12-17
T0009,C0033,AD008,Conversion,O0089,2024-08-16
T0010,C0011,AD006,Click,,2023-09-04
T0011,C0037,AD009,Click,,2024-12-11
T0012,C0013,AD009,Impression,,2024-06-09
T0013,C0007,AD007,Click,,2023-09-18
T0014,C0024,AD005,Impression,,2025-03-22
T0015,C0035,AD005,Impression,,2024-10-15
T0016,C0042,AD006,Click,,2025-03-16
T0017,C0035,AD010,Impression,,2025-06-17
T0018,C0028,AD004,Conversion,O0019,2025-07-11
T0019,C0022,AD008,Click,,2024-11-02
T0020,C0012,AD009,Impression,,2025-05-07
T0021,C0021,AD007,Impression,,2024-09-25
T0022,C0001,AD006,Click,,2024-06-18
T0023,C0014,AD001,Conversion,O0007,2024-09-17
T0024,C0023,AD008,Click,,2023-11-07
T0025,C0037,AD003,Conversion,O0069,2025-08-16
T0026,C0042,AD010,Impression,,2025-05-08
T0027,C0047,AD009,Conversion,O0046,2025-01-24
T0028,C0044,AD010,Impression,,2024-07-30
T0029,C0025,AD006,Click,,2023-12-28
T0030,C0031,AD005,Conversion,O0025,2025-09-05
T0031,C0026,AD008,Click,,2023-09-04
T0032,C0047,AD010,Conversion,O0026,2025-06-18
T0033,C0019,AD006,Impression,,2023-10-28
T0034,C0001,AD008,Conversion,O0093,2025-05-17
T0035,C0050,AD004,Impression,,2025-01-12
T0036,C0034,AD010,Click,,2024-11-01
T0037,C0039,AD006,Click,,2023-11-10
T0038,C0008,AD003,Impression,,2024-06-23
T0039,C0001,AD004,Click,,2023-11-19
T0040,C0050,AD010,Click,,2024-04-30
T0041,C0035,AD003,Click,,2025-01-30
T0042,C0019,AD010,Impression,,2025-03-10
T0043,C0027,AD006,Click,,2025-06-22
T0044,C0015,AD005,Impression,,2024-05-10
T0045,C0027,AD007,Click,,2024-02-21
T0046,C0040,AD003,Click,,2024-10-24
T0047,C0050,AD005,Click,,2023-12-20
T0048,C0029,AD006,Click,,2024-04-25
T0049,C0017,AD010,Click,,2025-04-24
T0050,C0010,AD008,Click,,2024-12-15
T0051,C0048,AD003,Conversion,O0004,2024-11-15
T0052,C0032,AD009,Click,,2024-06-15
T0053,C0034,AD003,Conversion,O0025,2025-05-21
T0054,C0038,AD008,Impression,,2023-12-17
T0055,C0050,AD002,Click,,2024-01-21
T0056,C0044,AD006,Click,,2024-08-26
T0057,C0007,AD002,Impression,,2025-01-01
T0058,C0031,AD005,Click,,2024-12-06
T0059,C0031,AD003,Impression,,2025-07-03
T0060,C0005,AD007,Conversion,O0005,2025-01-12
T0061,C0033,AD010,Impression,,2024-12-24
T0062,C0044,AD009,Click,,2025-06-10
T0063,C0018,AD003,Impression,,2024-06-15
T0064,C0027,AD002,Click,,2025-08-18
T0065,C0012,AD010,Click,,2025-01-22
T0066,C0004,AD007,Impression,,2023-09-10
T0067,C0025,AD002,Conversion,O0002,2025-08-07
T0068,C0034,AD004,Click,,2023-12-25
T0069,C0040,AD004,Conversion,O0059,2025-04-02
T0070,C0041,AD004,Click,,2024-06-26
T0071,C0018,AD001,Conversion,O0054,2025-09-11
T0072,C0039,AD004,Click,,2024-06-30
T0073,C0042,AD010,Conversion,O0049,2025-09-03
T0074,C0026,AD003,Click,,2025-06-30
T0075,C0035,AD007,Conversion,O0069,2025-08-18
T0076,C0033,AD006,Conversion,O0086,2025-01-12
T0077,C0045,AD010,Click,,2025-05-06
T0078,C0043,AD002,Conversion,O0061,2024-09-03
T0079,C0003,AD002,Click,,2024-07-26
T0080,C0047,AD010,Conversion,O0021,2024-07-20
T0081,C0040,AD001,Click,,2023-09-25
T0082,C0049,AD008,Click,,2024-06-28
T0083,C0031,AD010,Impression,,2023-09-19
T0084,C0042,AD007,Click,,2025-08-04
T0085,C0026,AD010,Impression,,2023-10-10
T0086,C0006,AD001,Conversion,O0039,2024-11-13
T0087,C0004,AD005,Click,,2025-06-10
T0088,C0040,AD003,Click,,2025-06-12
T0089,C0047,AD010,Conversion,O0067,2025-09-07
T0090,C0033,AD008,Conversion,O0078,2025-09-02
T0091,C0035,AD010,Conversion,O0012,2025-02-10
T0092,C0026,AD007,Click,,2023-09-12
T0093,C0047,AD008,Conversion,O0095,2025-07-15
T0094,C0002,AD009,Conversion,O0069,2025-09-09
T0095,C0047,AD002,Click,,2025-04-18
T0096,C0023,AD001,Impression,,2025-05-26
T0097,C0009,AD010,Impression,,2025-01-06
T0098,C0013,AD010,Conversion,O0091,2025-07-30
T0099,C0019,AD001,Impression,,2025-05-12
T0100,C0021,AD008,Impression,,2023-10-04
T0101,C0024,AD007,Conversion,O0060,2024-12-23
T0102,C0017,AD004,Impression,,2025-03-31
T0103,C0020,AD003,Impression,,2025-05-14
T0104,C0033,AD001,Conversion,O0018,2024-11-21
T0105,C0004,AD006,Impression,,2025-04-26
T0106,C0050,AD008,Click,,2023-08-26
T0107,C0042,AD002,Impression,,2024-11-02
T0108,C0048,AD003,Conversion,O0087,2025-02-03
T0109,C0028,AD003,Conversion,O0063,2025-02-17
T0110,C0002,AD003,Conversion,O0028,2025-09-10
T0111,C0050,AD008,Impression,,2024-08-04
T0112,C0011,AD005,Click,,2025-03-08
T0113,C0003,AD009,Conversion,O0076,2025-05-14
T0114,C0038,AD010,Click,,2025-06-22
T0115,C0030,AD006,Conversion,O0089,2025-04-02
T0116,C0008,AD007,Click,,2025-06-07
T0117,C0018,AD004,Conversion,O0087,2025-05-05
T0118,C0040,AD007,Impression,,2024-01-08
T0119,C0027,AD004,Impression,,2023-12-25
T0120,C0006,AD005,Impression,,2024-11-22
T0121,C0020,AD005,Conversion,O0033,2025-06-18
T0122,C0016,AD003,Conversion,O0029,2025-03-16
T0123,C0005,AD001,Conversion,O0072,2024-08-20
T0124,C0027,AD001,Click,,2025-03-27
T0125,C0032,AD004,Impression,,2023-09-13
T0126,C0007,AD002,Impression,,2024-08-22
T0127,C0002,AD002,Conversion,O0013,2025-07-23
T0128,C0008,AD007,Impression,,2024-06-24
T0129,C0009,AD008,Conversion,O0026,2024-06-30
T0130,C0043,AD008,Impression,,2024-03-21
T0131,C0047,AD007,Click,,2024-07-23
T0132,C0013,AD003,Impression,,2024-11-08
T0133,C0014,AD008,Conversion,O0078,2025-08-26
T0134,C0031,AD001,Click,,2023-12-28
T0135,C0012,AD003,Click,,2025-01-13
T0136,C0030,AD007,Impression,,2024-04-22
T0137,C0033,AD004,Impression,,2024-10-08
T0138,C0001,AD002,Click,,2023-11-07
T0139,C0047,AD006,Click,,2024-12-15
T0140,C0033,AD009,Impression,,2025-03-17
T0141,C0035,AD001,Impression,,2025-06-07
T0142,C0039,AD010,Impression,,2023-09-18
T0143,C0022,AD008,Conversion,O0067,2025-08-13
T0144,C0010,AD004,Conversion,O0023,2025-08-21
T0145,C0031,AD010,Conversion,O0082,2025-08-19
T0146,C0020,AD009,Conversion,O0074,2025-08-08
T0147,C0023,AD003,Impression,,2023-11-03
T0148,C0049,AD006,Impression,,2024-03-22
T0149,C0027,AD009,Conversion,O0003,2024-12-19
T0150,C0020,AD005,Impression,,2025-01-21
T0151,C0004,AD004,Conversion,O0048,2025-01-29
T0152,C0042,AD006,Impression,,2025-06-17
T0153,C0018,AD003,Click,,2024-11-13
T0154,C0006,AD006,Conversion,O0100,2025-06-29
T0155,C0020,AD004,Click,,2023-12-20
T0156,C0007,AD010,Impression,,2024-05-15
T0157,C0015,AD001,Conversion,O0047,2025-08-18
T0158,C0042,AD001,Click,,2024-01-27
T0159,C0003,AD008,Impression,,2023-09-23
T0160,C0047,AD009,Click,,2024-10-30
T0161,C0036,AD006,Click,,2025-05-31
T0162,C0026,AD003,Conversion,O0009,2024-04-27
T0163,C0013,AD001,Click,,2024-07-07
T0164,C0028,AD006,Impression,,2025-01-28
T0165,C0006,AD004,Impression,,2025-05-04
T0166,C0019,AD010,Conversion,O0005,2025-01-10
T0167,C0025,AD010,Click,,2023-12-19
T0168,C0008,AD003,Conversion,O0065,2025-03-23
T0169,C0050,AD010,Conversion,O0059,2025-02-05
T0170,C0039,AD005,Impression,,2025-03-16
T0171,C0030,AD003,Impression,,2024-04-28
T0172,C0013,AD006,Impression,,2025-02-14
T0173,C0034,AD006,Impression,,2023-11-09
T0174,C0001,AD002,Click,,2024-08-10
T0175,C0031,AD004,Click,,2023-09-16
T0176,C0015,AD007,Conversion,O0081,2025-08-26
T0177,C0021,AD006,Click,,2024-12-21
T0178,C0007,AD010,Impression,,2024-08-14
T0179,C0010,AD004,Conversion,O0011,2024-05-19
T0180,C0023,AD005,Conversion,O0053,2023-10-13
T0181,C0009,AD005,Click,,2025-03-19
T0182,C0035,AD003,Conversion,O0084,2024-12-02
T0183,C0033,AD006,Impression,,2024-12-29
T0184,C0035,AD009,Conversion,O0043,2025-08-28
T0185,C0024,AD009,Click,,2023-11-08
T0186,C0034,AD002,Click,,2025-06-21
T0187,C0028,AD004,Conversion,O0021,2024-09-17
T0188,C0033,AD005,Conversion,O0035,2024-07-23
T0189,C0013,AD003,Impression,,2023-09-28
T0190,C0048,AD003,Click,,2024-08-03
T0191,C0018,AD001,Conversion,O0013,2025-09-08
T0192,C0049,AD008,Conversion,O0019,2025-04-26
T0193,C0006,AD009,Impression,,2024-07-23
T0194,C0033,AD005,Click,,2025-04-05
T0195,C0026,AD002,Click,,2024-06-26
T0196,C0047,AD001,Impression,,2024-08-25
T0197,C0044,AD004,Click,,2023-12-22
T0198,C0050,AD004,Conversion,O0089,2025-09-03
T0199,C0032,AD001,Conversion,O0064,2025-08-12
T0200,C0017,AD008,Conversion,O0050,2025-08-05
